,c1qb,Case.ID,Sample.ID
0,574417.237903,TCGA-LL-A6FP,TCGA-LL-A6FP-01A
1,1344685.02774,TCGA-OL-A5D8,TCGA-OL-A5D8-01A
2,1100138.11359,TCGA-PE-A5DD,TCGA-PE-A5DD-01A
3,2086077.71801,TCGA-AN-A0AK,TCGA-AN-A0AK-01A
4,3374055.59881,TCGA-E2-A1LE,TCGA-E2-A1LE-01A
5,921207.208793,TCGA-E9-A1R2,TCGA-E9-A1R2-01A
6,2382300.96699,TCGA-E9-A1RH,TCGA-E9-A1RH-11A
7,3038610.8259900007,TCGA-BH-A209,TCGA-BH-A209-11A
8,1268908.39711,TCGA-AN-A04A,TCGA-AN-A04A-01A
9,4813079.97016,TCGA-D8-A1XL,TCGA-D8-A1XL-01A
10,800236.952642,TCGA-AN-A0FV,TCGA-AN-A0FV-01A
11,747789.29917,TCGA-EW-A1PC,TCGA-EW-A1PC-01B
12,967386.815891,TCGA-PL-A8LV,TCGA-PL-A8LV-01A
13,1758781.27641,TCGA-BH-A18U,TCGA-BH-A18U-01A
14,3613606.99696,TCGA-AC-A62V,TCGA-AC-A62V-01A
15,3274328.92181,TCGA-AR-A0TU,TCGA-AR-A0TU-01A
16,353457.343001,TCGA-A7-A13E,TCGA-A7-A13E-01B
17,690602.215959,TCGA-A7-A6VX,TCGA-A7-A6VX-01A
18,4927418.76291,TCGA-A2-A0YH,TCGA-A2-A0YH-01A
19,1012831.31813,TCGA-EW-A1PF,TCGA-EW-A1PF-01A
20,501828.39053999993,TCGA-BH-A0BM,TCGA-BH-A0BM-01A
21,3119604.53046,TCGA-AC-A62Y,TCGA-AC-A62Y-01A
22,2960168.81614,TCGA-A2-A0CL,TCGA-A2-A0CL-01A
23,1911937.73385,TCGA-D8-A1Y1,TCGA-D8-A1Y1-01A
24,849307.370596,TCGA-D8-A4Z1,TCGA-D8-A4Z1-01A
25,2332286.88655,TCGA-BH-A0AY,TCGA-BH-A0AY-01A
26,1414240.79781,TCGA-E2-A158,TCGA-E2-A158-11A
27,850813.465284,TCGA-AO-A0JM,TCGA-AO-A0JM-01A
28,1317686.0616,TCGA-AR-A255,TCGA-AR-A255-01A
29,448897.185935,TCGA-A7-A0DA,TCGA-A7-A0DA-01A
30,2401990.59655,TCGA-AR-A0TX,TCGA-AR-A0TX-01A
31,2790024.65136,TCGA-E9-A3Q9,TCGA-E9-A3Q9-01A
32,635064.016392,TCGA-BH-A0H7,TCGA-BH-A0H7-01A
33,1542799.13384,TCGA-LL-A6FQ,TCGA-LL-A6FQ-01A
34,2925331.22325,TCGA-A8-A08A,TCGA-A8-A08A-01A
35,1018357.98454,TCGA-BH-A18T,TCGA-BH-A18T-01A
36,588282.950771,TCGA-B6-A0RV,TCGA-B6-A0RV-01A
37,437458.153134,TCGA-B6-A0X5,TCGA-B6-A0X5-01A
38,1906664.38556,TCGA-A8-A09W,TCGA-A8-A09W-01A
39,1506308.32343,TCGA-D8-A1X5,TCGA-D8-A1X5-01A
40,2584496.8184700003,TCGA-A8-A07J,TCGA-A8-A07J-01A
41,1860414.35425,TCGA-AC-A2FB,TCGA-AC-A2FB-01A
42,2435031.9785700003,TCGA-EW-A1J1,TCGA-EW-A1J1-01A
43,1173363.83886,TCGA-A8-A07S,TCGA-A8-A07S-01A
44,871011.660292,TCGA-B6-A0IK,TCGA-B6-A0IK-01A
45,3341475.56587,TCGA-JL-A3YW,TCGA-JL-A3YW-01A
46,3831312.76388,TCGA-A8-A08H,TCGA-A8-A08H-01A
47,1298362.87968,TCGA-E9-A227,TCGA-E9-A227-01A
48,6899620.90783,TCGA-BH-A0C0,TCGA-BH-A0C0-01A
49,642616.382779,TCGA-BH-A203,TCGA-BH-A203-11A
50,669439.89191,TCGA-E2-A1LI,TCGA-E2-A1LI-01A
51,686805.9157939999,TCGA-OL-A5RX,TCGA-OL-A5RX-01A
52,1039060.49089,TCGA-BH-A0B5,TCGA-BH-A0B5-11A
53,2910075.97517,TCGA-A2-A0SW,TCGA-A2-A0SW-01A
54,603576.771323,TCGA-A2-A0EX,TCGA-A2-A0EX-01A
